i1 i2 dist
114 -321 93.8148308
529 2066 37.4427828
1901 2386 12.2968788
-283 673 42.6379821
-1119 39 10.2860892
-899 -959 82.6937174
859 -1144 7.9940177
2217 -267 63.9413741
-1468 -854 31.8479018
-1380 2049 90.9931899
543 -142 93.0313850
-1186 713 57.8867380
-189 2020 55.5711376
2282 -792 64.8363103
1760 -347 97.6268430
566 763 45.9856069
-829 366 95.4349093
2384 91 32.4114658
616 -35 34.0720122
-426 -1473 49.5142747
240 716 7.1306921
5 -420 89.1056839
-902 1903 38.7942227
624 -1278 77.5240948
-443 1846 7.5196676
392 861 66.6755123
1875 -905 81.8979263
959 1054 8.3965839
655 76 44.0459236
1147 2157 7.4621802
-474 -1000 92.4576764
664 1827 40.4198199
2103 631 12.2873714
1451 2246 45.1963961
76 1072 50.3946903
-231 438 9.8276123
-237 -871 4.9970564
-697 106 8.8866699
2454 351 30.4843075
-121 1899 39.0578921
-972 916 25.4869428
66 -1188 18.6006667
-1229 2220 71.1476199
1301 -1183 83.1420045
1811 1089 5.7488186
2107 -191 40.1207765
1863 -445 51.9308612
-835 2473 76.2253785
1818 240 19.2843258
934 1509 12.1801044
-1310 -562 34.5977301
-407 1617 59.0761391
-355 2029 64.8262643
-322 1589 14.9050296
-706 1350 28.5552971
362 722 84.6555178
2429 107 31.1700701
1032 118 30.7168846
2208 638 31.2793551
128 -958 65.6178793
98 -600 72.7974066
574 1605 0.5944936
-669 -577 91.3522980
-752 -476 10.6490904
958 1525 50.9687733
707 -142 71.3788453
919 674 56.7772777
671 117 33.5644498
770 -1445 29.7836359
-974 1017 70.0502434
-1474 -1229 32.5025327
-214 2346 39.8505334
728 1358 37.5694400
2168 595 9.6049174
-243 -672 19.8805279
2101 -1184 45.2498052
486 -34 7.8164948
-593 1834 26.5918190
1527 1655 42.2907940
2299 740 78.5853200
-1077 2110 21.7234107
-1067 39 12.1953887
2064 -1030 47.3679276
-1325 2328 22.7264533
1178 -405 15.8115266
-828 -39 75.8413944
2258 -90 44.4662382
-434 -199 49.1642424
1769 -1107 8.3716914
-1405 999 13.9073989
-1406 1966 4.9256890
1894 -886 71.9098959
-459 -1160 4.0072699
-790 -147 18.6276358
91 -1464 26.6220382
1359 -1029 44.5814680
591 -40 27.4533293
485 1929 59.2555319
1665 -989 89.4360115
2104 -392 7.6320223
1740 265 48.1608865
2315 -944 86.0517028
-1494 1790 88.4076724
345 1200 16.9492005
1945 1382 37.7545094
2155 1961 75.1168095
-1304 -798 99.4291384
964 186 76.8313143
2397 1211 73.6323018
-1460 1033 49.7921879
847 1876 49.1394860
1118 2274 22.3584447
-329 1221 85.2409144
692 914 46.3918092
-99 -1012 64.9781575
2190 -1260 9.1863473
-852 -1286 96.0898011
472 -1098 47.3933842
2454 -372 95.9747733
515 2212 40.7416627
1184 204 72.6170732
-887 2144 5.2308108
1031 -623 90.6119464
-1427 2226 4.4873346
-1263 1265 32.4595289
1422 105 46.2388381
-86 2148 48.2500828
-759 418 6.6889313
1604 -486 22.2567316
1841 557 55.6725941
586 329 31.3263656
1308 942 29.3846540
1561 1551 29.1225396
2316 1801 41.8025336
-761 153 73.2410194
1902 45 52.2738563
1574 468 4.3786851
190 471 51.7409509
1698 2079 8.6404768
281 1100 90.1525211
-1197 1605 4.9084627
510 2489 31.7849103
2098 1167 94.9586556
-171 914 85.3682255
705 -1021 96.3044402
2419 1633 28.2653398
-158 1284 23.9714578
698 1272 43.9095784
2014 -627 93.3227986
1594 2075 1.2403498
884 1395 50.8663362
-32 2332 8.8191714
-1133 882 93.3834944
1760 1304 69.0467418
-1304 1115 82.6012290
1577 -438 60.1153729
-1379 -264 15.2209510
1822 75 30.8172461
1934 -1377 20.7694559
264 854 9.1748542
944 813 31.3674035
-852 816 54.1291082
687 604 6.0935986
2350 386 79.9514407
-133 616 31.3603958
-31 2169 84.1749951
2118 -692 86.9616350
2485 -1139 2.9917594
-666 392 65.7693082
1100 1125 26.7358517
-751 1117 57.9613414
2476 833 8.6381586
-717 -940 29.8683180
-293 1726 76.2772344
-153 1007 82.2377862
922 -361 13.1106594
-1303 81 41.4294363
1648 400 65.6878011
647 -756 49.7911813
45 910 45.1877105
62 964 65.4680693
1699 1122 5.1097373
-1476 140 63.9768175
-1040 360 91.9574191
-1021 -845 86.0279578
-1017 -785 42.6795704
-1274 -963 94.9072566
-542 1055 79.4036100
1786 2361 91.3365031
321 1764 90.8976237
-1020 821 14.4975309
877 2048 86.8367287
-1157 993 42.3165640
997 -581 86.6670657
-109 1885 57.2301265
1146 -322 73.7180928
683 -1351 57.8760945
283 -1490 5.4732290
1313 -767 38.3617072
-637 1738 49.6710487
-456 1530 76.5731864
-465 2054 34.2786417
-917 -1436 76.1644822
1622 -1176 56.7692374
1 1153 52.2611065
2139 728 98.7817865
93 199 43.0183279
1224 716 98.4919545
299 1935 51.8344848
531 43 65.8682345
2242 894 11.0288311
-1176 827 79.0421648
-334 528 47.5504648
-1388 -312 75.6305672
1610 2409 33.4079774
-954 -529 16.6765342
811 2363 19.7565044
1040 -1262 50.0912662
-834 -337 15.6329356
-1244 2147 72.0494177
-738 402 32.4762496
-1234 702 9.6166429
2113 -753 26.4645023
711 -467 41.2357310
968 1409 77.2704940
-148 -1033 36.4699090
178 107 71.3606356
-718 -1236 4.2270697
2293 -312 14.7157346
2019 841 24.1582971
2004 -1492 38.0814809
262 861 52.4303232
2116 -1172 78.0634357
-463 -1146 40.7730449
729 -534 1.7937852
-884 353 65.2569361
355 1459 75.1845285
-1341 -417 32.9740026
2017 1283 31.6079803
716 1865 97.6256292
-67 536 9.6688437
222 -1348 64.5966575
-346 1323 26.9351851
606 -1212 10.6986991
812 1510 70.9297139
1580 -107 65.8364618
821 1933 39.8621531
-806 -911 64.8416297
1688 1662 44.2111561
636 -1467 12.2604462
-298 920 71.4674643
-374 218 35.3816674
428 -1177 33.4391838
-1069 -526 61.0392552
2129 1613 56.6922431
202 1766 28.9149127
-708 197 6.5899981
-760 -654 28.3677719
1910 1665 54.0687609
-807 -1415 49.9188447
2213 1159 62.8761554
591 -1193 17.4795225
1492 680 87.8455142
1286 2237 59.5783125
-425 1191 32.8495355
2383 -881 70.3935180
699 2002 73.4493476
-774 2092 90.0380999
592 -670 70.4453182
-209 -874 91.5935656
-976 1448 95.1478623
429 945 75.0594355
1566 655 94.9631376
-367 2195 22.2468427
-928 -739 29.9867382
1013 857 36.4098970
-1385 -874 39.5568746
-1338 1843 64.8737442
1815 348 56.3813753
1431 2264 43.6601077
-1359 -345 77.2691031
1947 521 92.9818778
2401 -286 3.4874144
-568 -474 79.5077304
-398 -973 85.3987642
-1374 -56 99.7326272
-1257 -1143 31.5812365
1661 410 15.1212862
-1364 -634 11.5594338
889 -159 34.5767617
-870 1920 22.8412647
335 847 62.9868011
1179 744 61.0089015
36 163 70.1253226
572 -611 36.1547512
-962 2048 52.7853021
2330 894 12.0898595
293 274 27.3790340
-931 -690 92.0759665
-1266 -378 31.7099324
-427 953 12.2835472
443 -387 25.3123810
-791 -1486 38.3251355
-789 -1089 52.1616801
-351 -1246 30.2515198
1926 -315 14.7176489
822 745 25.9334839
1512 60 33.8572460
246 1266 19.1285179
62 1308 13.8492201
163 -1224 25.9879709
1980 525 23.1040663
-1048 2422 83.3776735
2317 295 85.4635706
-210 2042 48.1402384
-1202 -1210 88.1725504
-1349 886 10.3370557
968 -1167 72.9793405
766 1742 78.2741730
-1317 274 52.3742250
1298 -1202 63.9663279
-1208 -242 2.7033466
-35 1493 67.9455926
431 550 73.3661254
1894 1153 98.3015079
-954 1569 89.3657698
1351 2098 72.0290558
2211 -1473 47.6042831
1789 -1347 35.0701771
-25 1382 0.3512150
1581 796 50.5756717
365 624 11.5248509
1757 -1233 35.7010344
