Roll Pitch Yaw X Y Z
2.9357809 -2.3775427 -0.6285105 1076.5420691 420.8984459 1035.5189200
-1.4046621 3.0765700 -2.1644577 1346.7081945 2316.3776073 2790.4302243
-0.2362403 -0.1143802 0.3899221 1141.7785802 -1852.6122505 1530.5081576
1.5334154 -1.3814720 -0.0478035 -318.3285025 2757.1898865 2741.7384549
0.7737188 -0.8957854 -2.3826187 -2423.6295466 -1576.2815300 1677.6363588
-1.4428818 -2.8526186 -2.1397124 2850.7986893 565.8503831 1948.9743881
0.3140139 -0.1925946 0.3461875 -2901.2439150 192.4598419 1632.0493766
-1.3613019 1.9322189 2.4207747 -2669.7602660 -1935.4444933 2008.8132493
-1.2874538 1.1467526 -2.3027541 218.0004096 -1287.4164594 1299.3710045
-1.7467245 0.2268981 -0.0535535 1534.7522572 544.7862361 1891.0988413
